pais,num_visitas,numero_modelos,pagina_mas_visitada,precio_maximo,precio_promedio,visitaspag1trousers,visitaspag2skirts,visitaspag3blouses,visitaspag4sales,target
Czech Republic,5,5,2-skirts,57,48.4,1.0,3.0,1.0,0.0,0
Ireland,1,1,3-blouses,28,28.0,0.0,0.0,1.0,0.0,0
Poland,6,5,2-skirts,62,48.333333333333336,0.0,6.0,0.0,3.0,1
Poland,7,7,3-blouses,43,38.0,3.0,0.0,4.0,5.0,1
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,0.0,0
Poland,3,2,3-blouses,48,44.666666666666664,1.0,0.0,2.0,1.0,1
Czech Republic,4,2,1-trousers,38,38.0,4.0,0.0,0.0,0.0,0
Poland,3,3,2-skirts,67,60.333333333333336,0.0,3.0,0.0,0.0,0
Poland,2,2,2-skirts,67,59.5,0.0,2.0,0.0,0.0,0
Poland,10,9,1-trousers,62,38.0,5.0,2.0,3.0,17.0,1
Poland,1,1,1-trousers,62,62.0,1.0,0.0,0.0,5.0,1
Poland,5,5,1-trousers,62,46.6,3.0,2.0,0.0,0.0,0
Poland,2,2,1-trousers,62,42.5,1.0,0.0,1.0,6.0,1
Poland,1,1,2-skirts,62,62.0,0.0,1.0,0.0,0.0,0
Poland,6,6,2-skirts,62,46.833333333333336,1.0,5.0,0.0,2.0,1
Lithuania,9,8,2-skirts,67,49.77777777777778,1.0,6.0,2.0,0.0,0
Lithuania,3,3,1-trousers,48,38.0,3.0,0.0,0.0,0.0,0
Czech Republic,2,2,1-trousers,38,35.5,1.0,0.0,1.0,0.0,0
Czech Republic,3,3,1-trousers,62,52.333333333333336,2.0,1.0,0.0,0.0,0
Poland,1,1,3-blouses,38,38.0,0.0,0.0,1.0,0.0,0
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,0.0,0
Czech Republic,10,10,1-trousers,82,50.6,6.0,1.0,3.0,0.0,0
Czech Republic,7,6,2-skirts,62,51.57142857142857,3.0,4.0,0.0,0.0,0
Poland,8,6,1-trousers,48,36.75,4.0,2.0,2.0,0.0,0
Poland,2,2,1-trousers,43,40.5,2.0,0.0,0.0,1.0,1
Poland,2,2,3-blouses,43,43.0,0.0,0.0,2.0,6.0,1
Poland,5,5,1-trousers,62,50.4,3.0,1.0,1.0,2.0,1
Poland,36,35,2-skirts,67,46.361111111111114,12.0,22.0,2.0,2.0,1
Poland,2,2,3-blouses,48,38.0,0.0,0.0,2.0,0.0,0
Poland,6,4,1-trousers,50,39.166666666666664,4.0,0.0,2.0,0.0,0
Poland,1,1,3-blouses,28,28.0,0.0,0.0,1.0,0.0,0
Poland,1,1,3-blouses,33,33.0,0.0,0.0,1.0,0.0,0
Poland,3,3,3-blouses,48,43.0,0.0,0.0,3.0,0.0,0
Poland,9,9,2-skirts,67,47.55555555555556,2.0,4.0,3.0,0.0,0
Poland,4,4,2-skirts,67,56.0,0.0,4.0,0.0,0.0,0
Poland,2,2,1-trousers,43,35.5,1.0,0.0,1.0,0.0,0
Poland,1,1,3-blouses,38,38.0,0.0,0.0,1.0,3.0,1
Poland,1,1,1-trousers,62,62.0,1.0,0.0,0.0,0.0,0
Poland,3,3,1-trousers,43,41.333333333333336,3.0,0.0,0.0,0.0,0
Poland,11,6,1-trousers,62,49.36363636363637,11.0,0.0,0.0,4.0,1
Poland,3,2,1-trousers,72,65.33333333333333,2.0,1.0,0.0,3.0,1
Poland,2,2,1-trousers,43,43.0,2.0,0.0,0.0,2.0,1
Poland,4,4,1-trousers,48,34.25,2.0,0.0,2.0,0.0,0
Poland,2,2,3-blouses,57,50.0,0.0,0.0,2.0,2.0,1
Poland,2,2,3-blouses,57,52.5,0.0,0.0,2.0,3.0,1
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,2.0,1
Poland,4,4,1-trousers,72,55.5,2.0,1.0,1.0,0.0,0
Poland,19,11,1-trousers,72,47.421052631578945,11.0,2.0,6.0,0.0,0
Poland,6,6,2-skirts,67,52.5,0.0,6.0,0.0,0.0,0
Poland,2,2,1-trousers,43,40.5,2.0,0.0,0.0,2.0,1
Poland,1,1,3-blouses,23,23.0,0.0,0.0,1.0,0.0,0
Poland,2,2,3-blouses,48,45.5,0.0,0.0,2.0,2.0,1
Poland,5,4,3-blouses,67,39.2,1.0,1.0,3.0,1.0,1
Poland,4,4,2-skirts,62,54.75,1.0,3.0,0.0,0.0,0
Poland,2,2,1-trousers,62,47.5,2.0,0.0,0.0,0.0,0
Poland,1,1,3-blouses,23,23.0,0.0,0.0,1.0,0.0,0
Poland,19,18,3-blouses,62,44.578947368421055,2.0,5.0,12.0,13.0,1
Poland,1,1,2-skirts,38,38.0,0.0,1.0,0.0,0.0,0
Poland,1,1,1-trousers,62,62.0,1.0,0.0,0.0,1.0,1
Poland,1,1,3-blouses,33,33.0,0.0,0.0,1.0,0.0,0
Poland,5,4,3-blouses,48,35.0,0.0,0.0,5.0,1.0,1
Poland,3,3,3-blouses,48,36.333333333333336,0.0,0.0,3.0,0.0,0
Poland,4,4,1-trousers,43,34.25,3.0,0.0,1.0,0.0,0
Poland,6,6,2-skirts,57,49.0,0.0,5.0,1.0,0.0,0
Poland,1,1,2-skirts,38,38.0,0.0,1.0,0.0,0.0,0
com (*.com),5,5,3-blouses,48,40.0,0.0,0.0,5.0,0.0,0
Slovakia,33,17,3-blouses,57,45.72727272727273,0.0,0.0,33.0,16.0,1
Poland,1,1,2-skirts,67,67.0,0.0,1.0,0.0,0.0,0
Poland,11,11,2-skirts,62,47.54545454545455,5.0,6.0,0.0,0.0,0
Poland,8,7,1-trousers,62,45.375,4.0,0.0,4.0,0.0,0
Poland,5,5,2-skirts,67,54.4,0.0,5.0,0.0,1.0,1
Poland,19,16,2-skirts,67,49.578947368421055,6.0,13.0,0.0,8.0,1
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,11.0,1
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,0.0,0
Poland,1,1,2-skirts,67,67.0,0.0,1.0,0.0,0.0,0
Poland,2,2,1-trousers,38,38.0,2.0,0.0,0.0,2.0,1
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,1.0,1
Poland,3,3,2-skirts,62,57.0,0.0,3.0,0.0,0.0,0
Poland,1,1,1-trousers,33,33.0,1.0,0.0,0.0,0.0,0
Poland,9,7,1-trousers,62,48.44444444444444,4.0,1.0,4.0,5.0,1
Poland,18,18,1-trousers,82,48.666666666666664,8.0,8.0,2.0,0.0,0
Poland,31,31,3-blouses,62,40.45161290322581,14.0,0.0,17.0,13.0,1
Poland,7,7,3-blouses,52,32.857142857142854,2.0,0.0,5.0,4.0,1
Poland,4,4,3-blouses,38,31.75,0.0,0.0,4.0,5.0,1
Poland,17,14,1-trousers,82,45.35294117647059,15.0,2.0,0.0,0.0,0
Poland,2,2,1-trousers,43,40.5,2.0,0.0,0.0,0.0,0
Poland,3,3,3-blouses,48,38.666666666666664,0.0,0.0,3.0,2.0,1
Poland,1,1,3-blouses,57,57.0,0.0,0.0,1.0,0.0,0
Poland,19,19,1-trousers,82,50.05263157894737,11.0,4.0,4.0,0.0,0
Poland,6,6,3-blouses,62,42.0,2.0,0.0,4.0,0.0,0
Poland,8,8,3-blouses,48,39.875,0.0,1.0,7.0,4.0,1
Poland,4,4,1-trousers,43,36.75,3.0,0.0,1.0,3.0,1
Poland,21,20,3-blouses,67,44.285714285714285,0.0,8.0,13.0,10.0,1
Czech Republic,8,8,1-trousers,62,45.125,3.0,3.0,2.0,0.0,0
Poland,4,4,2-skirts,57,49.0,0.0,2.0,2.0,1.0,1
Poland,1,1,3-blouses,48,48.0,0.0,0.0,1.0,0.0,0
Poland,6,6,1-trousers,82,42.333333333333336,5.0,0.0,1.0,0.0,0
Poland,25,22,2-skirts,62,38.92,5.0,10.0,10.0,5.0,1
Poland,4,4,2-skirts,67,58.25,0.0,4.0,0.0,0.0,0
Poland,3,3,2-skirts,43,39.666666666666664,0.0,3.0,0.0,0.0,0
Poland,1,1,3-blouses,28,28.0,0.0,0.0,1.0,0.0,0
Poland,2,2,2-skirts,57,47.5,0.0,2.0,0.0,0.0,0
Poland,10,10,2-skirts,67,48.1,3.0,7.0,0.0,0.0,0
Poland,10,8,3-blouses,52,41.9,1.0,1.0,8.0,1.0,1
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,0.0,0
Poland,1,1,1-trousers,62,62.0,1.0,0.0,0.0,0.0,0
Poland,10,10,1-trousers,62,42.2,9.0,1.0,0.0,1.0,1
Poland,19,19,1-trousers,82,45.578947368421055,9.0,4.0,6.0,0.0,0
Poland,3,3,3-blouses,48,41.333333333333336,1.0,0.0,2.0,22.0,1
Poland,8,6,1-trousers,62,52.375,6.0,1.0,1.0,2.0,1
Poland,6,4,2-skirts,52,50.0,0.0,6.0,0.0,0.0,0
Poland,5,4,2-skirts,57,46.6,0.0,5.0,0.0,1.0,1
Poland,6,6,1-trousers,62,45.666666666666664,6.0,0.0,0.0,0.0,0
Poland,7,7,1-trousers,62,47.57142857142857,7.0,0.0,0.0,0.0,0
Poland,11,8,3-blouses,57,37.36363636363637,0.0,0.0,11.0,0.0,0
Poland,26,14,1-trousers,82,49.11538461538461,9.0,8.0,9.0,5.0,1
Poland,2,2,3-blouses,48,40.5,0.0,0.0,2.0,0.0,0
Poland,7,7,1-trousers,62,43.42857142857143,6.0,1.0,0.0,2.0,1
com (*.com),1,1,3-blouses,33,33.0,0.0,0.0,1.0,0.0,0
com (*.com),1,1,3-blouses,28,28.0,0.0,0.0,1.0,0.0,0
Poland,6,6,3-blouses,52,37.0,0.0,0.0,6.0,0.0,0
Poland,4,4,2-skirts,57,44.0,0.0,2.0,2.0,0.0,0
Poland,1,1,2-skirts,52,52.0,0.0,1.0,0.0,0.0,0
Poland,2,2,1-trousers,43,38.0,1.0,0.0,1.0,0.0,0
Poland,13,12,1-trousers,82,50.15384615384615,12.0,0.0,1.0,0.0,0
Poland,7,6,2-skirts,67,55.57142857142857,0.0,7.0,0.0,4.0,1
Poland,9,9,3-blouses,67,39.111111111111114,0.0,3.0,6.0,0.0,0
Poland,5,5,2-skirts,67,54.2,1.0,3.0,1.0,2.0,1
Poland,4,4,1-trousers,38,34.25,4.0,0.0,0.0,2.0,1
Poland,8,8,3-blouses,50,37.875,0.0,0.0,8.0,1.0,1
Poland,3,3,3-blouses,48,34.666666666666664,1.0,0.0,2.0,0.0,0
Poland,13,11,2-skirts,57,39.30769230769231,1.0,6.0,6.0,1.0,1
Poland,2,2,1-trousers,62,52.5,2.0,0.0,0.0,0.0,0
Poland,2,2,2-skirts,67,57.5,0.0,1.0,1.0,2.0,1
Poland,14,12,2-skirts,57,45.142857142857146,0.0,9.0,5.0,17.0,1
Poland,3,3,2-skirts,52,46.0,0.0,2.0,1.0,0.0,0
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,0.0,0
Poland,10,10,2-skirts,67,46.6,0.0,8.0,2.0,0.0,0
Poland,10,9,1-trousers,82,51.4,9.0,0.0,1.0,4.0,1
Poland,4,4,3-blouses,48,44.25,0.0,1.0,3.0,0.0,0
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,0.0,0
Poland,16,16,3-blouses,57,41.6875,1.0,0.0,15.0,0.0,0
Poland,6,6,2-skirts,57,42.666666666666664,1.0,3.0,2.0,3.0,1
Norway,7,6,1-trousers,82,50.57142857142857,6.0,0.0,1.0,4.0,1
Poland,2,2,2-skirts,67,62.0,0.0,2.0,0.0,0.0,0
Poland,2,1,2-skirts,62,62.0,0.0,2.0,0.0,0.0,0
Czech Republic,25,20,1-trousers,82,49.96,18.0,3.0,4.0,0.0,0
Poland,17,17,1-trousers,82,47.529411764705884,17.0,0.0,0.0,0.0,0
Poland,2,2,2-skirts,38,33.0,0.0,1.0,1.0,0.0,0
Poland,2,2,3-blouses,57,54.5,0.0,0.0,2.0,0.0,0
Lithuania,9,8,1-trousers,82,49.44444444444444,6.0,1.0,2.0,0.0,0
Lithuania,3,3,2-skirts,67,52.333333333333336,0.0,3.0,0.0,0.0,0
Czech Republic,1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Poland,13,13,2-skirts,67,51.30769230769231,0.0,10.0,3.0,0.0,0
Poland,4,4,1-trousers,62,42.75,4.0,0.0,0.0,9.0,1
Poland,2,2,1-trousers,62,55.0,1.0,0.0,1.0,0.0,0
Poland,2,2,2-skirts,43,40.5,0.0,2.0,0.0,3.0,1
Poland,9,9,2-skirts,62,48.666666666666664,0.0,6.0,3.0,6.0,1
Poland,1,1,3-blouses,48,48.0,0.0,0.0,1.0,3.0,1
Poland,2,1,2-skirts,43,43.0,0.0,2.0,0.0,0.0,0
Poland,4,4,1-trousers,52,42.75,2.0,2.0,0.0,3.0,1
Poland,5,5,1-trousers,82,52.6,4.0,0.0,1.0,0.0,0
Czech Republic,1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Poland,15,13,2-skirts,62,48.53333333333333,4.0,7.0,4.0,2.0,1
Poland,1,1,1-trousers,82,82.0,1.0,0.0,0.0,0.0,0
Poland,11,8,2-skirts,62,49.81818181818182,0.0,10.0,1.0,5.0,1
Poland,1,1,1-trousers,72,72.0,1.0,0.0,0.0,3.0,1
Poland,12,12,2-skirts,72,51.583333333333336,3.0,5.0,4.0,17.0,1
Poland,21,16,1-trousers,82,49.095238095238095,16.0,0.0,5.0,0.0,0
Poland,6,5,2-skirts,57,47.5,2.0,4.0,0.0,14.0,1
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,0.0,0
Poland,10,10,2-skirts,67,51.8,0.0,10.0,0.0,0.0,0
Poland,3,3,2-skirts,67,58.666666666666664,0.0,3.0,0.0,3.0,1
Poland,2,2,1-trousers,48,40.5,1.0,0.0,1.0,0.0,0
Poland,1,1,2-skirts,52,52.0,0.0,1.0,0.0,0.0,0
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,0.0,0
Poland,1,1,1-trousers,43,43.0,1.0,0.0,0.0,1.0,1
Poland,13,11,3-blouses,62,43.84615384615385,2.0,4.0,7.0,0.0,0
Poland,2,2,2-skirts,67,62.0,0.0,1.0,1.0,0.0,0
Poland,2,2,1-trousers,62,55.0,1.0,0.0,1.0,2.0,1
Poland,3,3,1-trousers,52,46.0,1.0,1.0,1.0,3.0,1
Poland,46,37,3-blouses,62,43.369565217391305,16.0,4.0,26.0,0.0,0
Poland,1,1,3-blouses,55,55.0,0.0,0.0,1.0,0.0,0
Poland,5,5,1-trousers,62,46.6,2.0,2.0,1.0,1.0,1
Poland,8,6,1-trousers,38,32.625,4.0,0.0,4.0,2.0,1
Poland,4,4,1-trousers,57,44.0,3.0,1.0,0.0,4.0,1
Poland,1,1,3-blouses,48,48.0,0.0,0.0,1.0,0.0,0
Poland,4,4,2-skirts,67,48.75,1.0,2.0,1.0,0.0,0
Poland,3,3,1-trousers,62,47.666666666666664,3.0,0.0,0.0,0.0,0
Poland,11,11,1-trousers,57,35.18181818181818,4.0,4.0,3.0,1.0,1
Poland,1,1,3-blouses,18,18.0,0.0,0.0,1.0,0.0,0
Poland,6,6,2-skirts,67,46.666666666666664,1.0,5.0,0.0,2.0,1
Poland,10,10,2-skirts,62,47.5,3.0,7.0,0.0,5.0,1
Czech Republic,8,8,1-trousers,62,40.25,3.0,3.0,2.0,0.0,0
Poland,2,1,1-trousers,38,38.0,2.0,0.0,0.0,0.0,0
Poland,9,9,2-skirts,67,51.77777777777778,0.0,9.0,0.0,0.0,0
Poland,1,1,2-skirts,52,52.0,0.0,1.0,0.0,0.0,0
net (*.net),1,1,3-blouses,43,43.0,0.0,0.0,1.0,2.0,1
Poland,1,1,1-trousers,62,62.0,1.0,0.0,0.0,0.0,0
com (*.com),6,5,1-trousers,62,50.833333333333336,5.0,0.0,1.0,7.0,1
Poland,1,1,3-blouses,28,28.0,0.0,0.0,1.0,0.0,0
Poland,6,6,1-trousers,48,37.666666666666664,3.0,0.0,3.0,0.0,0
Poland,1,1,1-trousers,28,28.0,1.0,0.0,0.0,0.0,0
Poland,2,2,3-blouses,48,40.5,0.0,0.0,2.0,1.0,1
Poland,5,5,1-trousers,67,41.8,2.0,1.0,2.0,5.0,1
Poland,11,10,3-blouses,62,47.81818181818182,2.0,4.0,5.0,14.0,1
Poland,1,1,3-blouses,48,48.0,0.0,0.0,1.0,0.0,0
Poland,1,1,1-trousers,33,33.0,1.0,0.0,0.0,0.0,0
Poland,8,8,3-blouses,62,44.125,0.0,3.0,5.0,0.0,0
Poland,11,10,1-trousers,62,44.90909090909091,4.0,4.0,3.0,0.0,0
Poland,5,5,3-blouses,57,43.6,1.0,1.0,3.0,4.0,1
Poland,8,8,1-trousers,62,41.5,8.0,0.0,0.0,6.0,1
Poland,3,3,1-trousers,82,59.0,2.0,0.0,1.0,0.0,0
Poland,4,4,1-trousers,72,57.0,2.0,0.0,2.0,0.0,0
Poland,6,6,1-trousers,67,48.333333333333336,3.0,2.0,1.0,2.0,1
Poland,4,4,2-skirts,57,47.75,0.0,2.0,2.0,4.0,1
Poland,13,13,3-blouses,72,44.46153846153846,3.0,0.0,10.0,0.0,0
Poland,3,3,2-skirts,67,65.33333333333333,0.0,3.0,0.0,0.0,0
Poland,7,7,3-blouses,57,37.714285714285715,0.0,2.0,5.0,0.0,0
Poland,3,3,2-skirts,57,49.0,0.0,3.0,0.0,4.0,1
Poland,6,6,2-skirts,67,47.166666666666664,0.0,3.0,3.0,2.0,1
Czech Republic,7,7,1-trousers,62,50.285714285714285,5.0,2.0,0.0,0.0,0
Czech Republic,2,2,2-skirts,57,54.5,0.0,2.0,0.0,0.0,0
Poland,5,5,2-skirts,67,58.2,1.0,4.0,0.0,0.0,0
Czech Republic,4,4,2-skirts,67,58.5,0.0,4.0,0.0,0.0,0
Poland,11,9,1-trousers,72,46.0,11.0,0.0,0.0,5.0,1
Poland,15,9,1-trousers,62,47.13333333333333,8.0,7.0,0.0,17.0,1
Czech Republic,4,4,3-blouses,72,52.5,1.0,0.0,3.0,0.0,0
Poland,8,6,3-blouses,48,37.375,2.0,0.0,6.0,0.0,0
Poland,2,2,1-trousers,38,38.0,1.0,1.0,0.0,0.0,0
Poland,4,3,1-trousers,72,52.5,3.0,0.0,1.0,0.0,0
Poland,3,3,3-blouses,48,39.666666666666664,1.0,0.0,2.0,5.0,1
Poland,1,1,1-trousers,28,28.0,1.0,0.0,0.0,0.0,0
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,3.0,1
com (*.com),1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Poland,1,1,2-skirts,57,57.0,0.0,1.0,0.0,0.0,0
com (*.com),2,2,2-skirts,43,40.5,0.0,1.0,1.0,0.0,0
Poland,6,6,1-trousers,62,50.333333333333336,5.0,1.0,0.0,0.0,0
Poland,1,1,1-trousers,43,43.0,1.0,0.0,0.0,2.0,1
Poland,7,7,1-trousers,48,38.0,4.0,0.0,3.0,0.0,0
Poland,1,1,1-trousers,28,28.0,1.0,0.0,0.0,0.0,0
Poland,27,26,3-blouses,72,43.44444444444444,8.0,9.0,10.0,0.0,0
Poland,1,1,1-trousers,43,43.0,1.0,0.0,0.0,0.0,0
Poland,5,5,1-trousers,82,46.8,5.0,0.0,0.0,1.0,1
Poland,3,3,1-trousers,62,44.333333333333336,3.0,0.0,0.0,3.0,1
Poland,4,4,1-trousers,62,41.5,4.0,0.0,0.0,6.0,1
Poland,6,6,2-skirts,57,41.833333333333336,1.0,3.0,2.0,0.0,0
Poland,5,5,2-skirts,67,54.4,0.0,5.0,0.0,0.0,0
Poland,1,1,1-trousers,38,38.0,1.0,0.0,0.0,0.0,0
Poland,2,2,1-trousers,60,49.0,2.0,0.0,0.0,2.0,1
Poland,2,2,2-skirts,67,52.5,0.0,2.0,0.0,3.0,1
Poland,6,6,2-skirts,67,57.166666666666664,0.0,6.0,0.0,0.0,0
Poland,2,2,1-trousers,62,59.5,1.0,1.0,0.0,0.0,0
Poland,8,7,1-trousers,67,53.625,4.0,3.0,1.0,4.0,1
Poland,3,3,2-skirts,43,41.333333333333336,1.0,2.0,0.0,0.0,0
Poland,2,2,2-skirts,43,33.0,0.0,1.0,1.0,2.0,1
France,2,2,1-trousers,67,52.5,1.0,1.0,0.0,0.0,0
Czech Republic,8,8,1-trousers,62,42.125,6.0,0.0,2.0,0.0,0
